,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
3554,3554,AURORA WEST ALLIS MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,43.002702,-88.023065,8901 W LINCOLN AVE,WEST ALLIS,True,56.0,1095.55,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
3555,3555,AURORA MEDICAL CENTER SUMMIT,Voluntary non-profit - Private,Acute Care Hospitals,43.063611,-88.467732,36500 AURORA DRIVE,SUMMIT,True,53.0,535.06,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
3556,3556,AURORA MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,43.3236103,-87.9283538,975 PORT WASHINGTON ROAD,GRAFTON,True,67.0,853.61,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
3557,3557,HCA HOUSTON HEALTHCARE PEARLAND,Proprietary,Acute Care Hospitals,29.579994,-95.391911,11100 SHADOW CREEK PARKWAY,PEARLAND,True,52.0,205.82,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Texas
3558,3558,STONY BROOK EASTERN LONG ISLAND HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.110951,-72.361459,201 MANOR PLACE,GREENPORT,True,49.0,341.2,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,New York
3559,3559,CITIZENS BAPTIST MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,33.439801,-86.090641,604 STONE AVENUE,TALLADEGA,True,21.0,222.41,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Alabama
3560,3560,PRINCETON BAPTIST MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,33.499133,-86.846016,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,True,69.0,1123.0,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Alabama
3561,3561,ST LUKE'S REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,43.612157,-116.192202,190 EAST BANNOCK STREET,BOISE,True,62.0,6599.53,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Idaho
3562,3562,ALICE HYDE MEDICAL CENTER,Voluntary non-profit - Other,Acute Care Hospitals,44.856658,-74.29193,133 PARK STREET,MALONE,True,32.0,722.5,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,New York
3563,3563,VIRGINIA HOSPITAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,38.889088,-77.128654,1701 NORTH GEORGE MASON DRIVE,ARLINGTON,True,87.0,2533.12,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Virginia
3564,3564,JOHN D ARCHBOLD MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,30.8251841,-83.9720565,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,True,66.0,1514.7,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Georgia
3565,3565,HARRIS HEALTH SYSTEM,Government - Hospital District or Authority,Acute Care Hospitals,29.685422,-95.387094,2525 HOLLY HALL,HOUSTON,True,72.0,8063.76,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Texas
3566,3566,ROUND ROCK MEDICAL CENTER,Proprietary,Acute Care Hospitals,30.509336,-97.712361,2400 ROUND ROCK AVE,ROUND ROCK,True,77.0,808.45,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Texas
3567,3567,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,Proprietary,Acute Care Hospitals,34.096192,-118.325371,6245 DE LONGPRE AVE,HOLLYWOOD,True,52.0,1553.0,2,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,California
3568,3568,ADVENTIST HEALTH SONORA,Voluntary non-profit - Church,Acute Care Hospitals,37.976728,-120.369442,1000 GREENLEY ROAD,SONORA,False,54.0,1050.97,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,California
3569,3569,SANTA BARBARA COTTAGE HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,34.429483,-119.723077,400 WEST PUEBLO,SANTA BARBARA,True,70.0,2497.8,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,California
3570,3570,ST LUKE'S MAGIC VALLEY RMC,Voluntary non-profit - Private,Acute Care Hospitals,42.591595,-114.496998,801 POLE LINE ROAD WEST,TWIN FALLS,True,57.0,1784.41,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Idaho
3571,3571,OLYMPIC MEDICAL CENTER,Government - Local,Acute Care Hospitals,48.114635,-123.414084,939 CAROLINE ST,PORT ANGELES,True,53.0,1303.74,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Washington
3572,3572,KARMANOS CANCER CENTER,Proprietary,Acute Care Hospitals,42.35189,-83.058192,4100 JOHN R,DETROIT,False,54.0,698.46,2,Not Available,Below the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Michigan
3573,3573,PRESBYTERIAN HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.082295,-106.63453,1100 CENTRAL AVENUE SE,ALBUQUERQUE,True,75.0,5798.86,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,New Mexico
3574,3574,ASPIRUS WAUSAU HOSPITAL,Proprietary,Acute Care Hospitals,44.964503,-89.666372,333 PINE RIDGE BLVD,WAUSAU,True,79.0,2096.16,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
3575,3575,LOURDES HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,37.052989,-88.647857,1530 LONE OAK ROAD,PADUCAH,True,45.0,992.74,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Kentucky
3576,3576,CJW MEDICAL CENTER,Proprietary,Acute Care Hospitals,37.515832,-77.52488,7101 JAHNKE ROAD,RICHMOND,True,68.0,2578.0,2,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Virginia
3577,3577,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,Government - Hospital District or Authority,Acute Care Hospitals,34.635273,-99.319119,1200 EAST PECAN ST,ALTUS,True,52.0,656.5,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Oklahoma
3578,3578,PINNACLE HEALTH HOSPITALS,Voluntary non-profit - Other,Acute Care Hospitals,40.256258,-76.875329,409 SOUTH SECOND STREET,HARRISBURG,True,90.0,3977.16,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Pennsylvania
3579,3579,UPMC ST MARGARET,Voluntary non-profit - Private,Acute Care Hospitals,40.487472,-79.896038,815 FREEPORT ROAD,PITTSBURGH,True,51.0,1161.44,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Pennsylvania
3580,3580,PENN HIGHLANDS HUNTINDON,Voluntary non-profit - Other,Acute Care Hospitals,40.493656,-78.013908,1225 WARM SPRINGS AVE,HUNTINGDON,True,30.0,358.38,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Pennsylvania
3581,3581,IU HEALTH WEST HOSPITAL,Proprietary,Acute Care Hospitals,39.782568,-86.343731,1111 N RONALD REAGAN PKWY,AVON,True,67.0,774.22,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Indiana
3582,3582,SAN ANGELO COMMUNITY MEDICAL CENTER,Proprietary,Acute Care Hospitals,31.420076,-100.470132,3501 KNICKERBOCKER ROAD,SAN ANGELO,True,36.0,637.6,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Texas
3583,3583,MILTON S HERSHEY MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.265932,-76.674557,500 UNIVERSITY DRIVE,HERSHEY,False,84.0,6601.51,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Pennsylvania
3584,3584,JACKSON-MADISON COUNTY GENERAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,35.63954,-88.831973,620 SKYLINE DRIVE,JACKSON,True,55.0,3868.46,1,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Tennessee
3585,3585,HENRY FORD HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.366114,-83.084592,2799 W GRAND BLVD,DETROIT,True,77.0,11576.48,2,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Michigan
3586,3586,BRYAN MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.796598,-96.653661,1600 SOUTH 48TH ST,LINCOLN,True,66.0,3185.25,4,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Nebraska
3587,3587,MORRISTOWN MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.787896,-74.464855,100 MADISON AVE,MORRISTOWN,True,83.0,5277.34,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,New Jersey
3588,3588,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,Voluntary non-profit - Private,Childrens,33.79398,-84.321007,"1405 CLIFTON ROAD, NE",ATLANTA,True,74.0,2589.05,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Georgia
3589,3589,ADVENTIST HINSDALE HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.805329,-87.920062,120 NORTH OAK ST,HINSDALE,True,57.0,1954.1,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Illinois
3590,3590,HUNTERDON MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,40.532524,-74.86041,2100 WESCOTT DRIVE,FLEMINGTON,True,61.0,1686.22,4,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,New Jersey
3591,3591,WADLEY REGIONAL MEDICAL CENTER,Physician,Acute Care Hospitals,33.428482,-94.047188,1000 PINE STREET,TEXARKANA,True,43.0,718.09,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Texas
3592,3592,JERSEY COMMUNITY HOSPITAL,Government - Local,Acute Care Hospitals,39.109906,-90.341622,400 MAPLE SUMMIT ROAD,JERSEYVILLE,True,15.0,335.22,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Illinois
3593,3593,EAST LIVERPOOL CITY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.621409,-80.586218,425 WEST 5TH STREET,EAST LIVERPOOL,True,36.0,457.61,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Ohio
